Index,Symbol,Name
940,CZKBOB=X,CZK/BOB
941,CHFDOP=X,CHF/DOP
942,CHFMRO=X,CHF/MRO
943,CZKPLN=X,CZK/PLN
944,CZKCLP=X,CZK/CLP
945,CHFSDG=X,CHF/SDG
946,CADRWF=X,CAD/RWF
947,CHFPLN=X,CHF/PLN
948,CLPKRW=X,CLP/KRW
949,CHFIDR=X,CHF/IDR
950,CNYCZK=X,CNY/CZK
951,CHFAFN=X,CHF/AFN
952,CADDOP=X,CAD/DOP
953,CHFPKR=X,CHF/PKR
954,CHFSZL=X,CHF/SZL
955,CADCUP=X,CAD/CUP
956,CHFVUV=X,CHF/VUV
957,CADERN=X,CAD/ERN
958,CLPARS=X,CLP/ARS
959,COPUYU=X,COP/UYU
960,CZKUAH=X,CZK/UAH
961,CADIRR=X,CAD/IRR
962,CZKILS=X,CZK/ILS
963,CADMWK=X,CAD/MWK
964,CHFBSD=X,CHF/BSD
965,ZARANG=X,ZAR/ANG
966,CHFDJF=X,CHF/DJF
967,CADAUD=X,CAD/AUD
968,EUR-AFN.F,EUR-AFN.F
969,CADUYU=X,CAD/UYU
970,CADMAD=X,CAD/MAD
971,CNYHUF=X,CNY/HUF
972,CLPMXN=X,CLP/MXN
973,CZKRUB=X,CZK/RUB
974,EUR-DOP.F,EUR-DOP.F
975,CZKSEK=X,CZK/SEK
976,CADARS=X,CAD/ARS
977,CHFCOP=X,CHF/COP
978,CZKBMD=X,CZK/BMD
979,CNHJPY=X,CNH/JPY
980,CADCNH=X,CAD/CNH
981,CADPKR=X,CAD/PKR
982,COPPYG=X,COP/PYG
983,DOPGBP=X,DOP/GBP
984,DOPEUR=X,DOP/EUR
985,DKKTWD=X,DKK/TWD
986,DKKTND=X,DKK/TND
987,DKKSAR=X,DKK/SAR
988,DKKMYR=X,DKK/MYR
989,DKKJPY=X,DKK/JPY
990,DKKHUF=X,DKK/HUF
991,DKKCLP=X,DKK/CLP
992,DKKCHF=X,DKK/CHF
993,DEM=X,USD/DEM
994,DKKQAR=X,DKK/QAR
995,DKKBAM=X,DKK/BAM
996,DKKCZK=X,DKK/CZK
997,DKKSGD=X,DKK/SGD
998,DKKINR=X,DKK/INR
999,DKKJOD=X,DKK/JOD
1000,PLNSEK=X,PLN/SEK
1001,DKKTRY=X,DKK/TRY
1002,DZDUSD=X,DZD/USD
1003,DKKRON=X,DKK/RON
1004,DKKKWD=X,DKK/KWD
1005,DKKPHP=X,DKK/PHP
1006,DWHEAT.MDD,DWHEAT.MDD
1007,DKKHKD=X,DKK/HKD
1008,DKKKRW=X,DKK/KRW
1009,DKKMXN=X,DKK/MXN
